contractSymbol,expiry,option_type,strike,bid,ask,lastPrice,volume,openInterest,impliedVolatility,delta,gamma,theta,vega,inTheMoney,snapshot_time,snapshot_str,ticker
AAPL260429C00190000,2026-04-29,call,190.0,78.5,82.2,80.05,155.0,7,4.461918485107422,,,,,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00200000,2026-04-29,call,200.0,68.5,72.2,70.6,57.0,82,3.92968767578125,,,,,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00205000,2026-04-29,call,205.0,63.5,67.2,64.85,42.0,3,3.670899260253907,,,,,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00215000,2026-04-29,call,215.0,53.5,57.2,55.03,87.0,1,3.16406458984375,,,,,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00220000,2026-04-29,call,220.0,48.65,52.25,49.96,133.0,2,2.940432336425781,,,,,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00225000,2026-04-29,call,225.0,43.65,47.25,45.33,47.0,16,2.6923860815429688,,,,,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00230000,2026-04-29,call,230.0,38.6,42.25,39.81,359.0,11,2.4467812268066402,,,,,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00235000,2026-04-29,call,235.0,33.7,37.2,35.6,106.0,3,2.1816451708984372,,,,,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00240000,2026-04-29,call,240.0,28.9,32.2,29.84,32.0,13,1.9384768701171877,,,,,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00245000,2026-04-29,call,245.0,23.9,27.3,25.01,22.0,2,1.7290052612304687,,,,,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00247500,2026-04-29,call,247.5,21.2,24.85,22.11,9.0,4,1.62109564453125,,,,,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00250000,2026-04-29,call,250.0,18.65,22.55,19.79,426.0,135,1.5551780053710935,,,,,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00252500,2026-04-29,call,252.5,16.0,19.8,17.17,8.0,98,1.3525422998046874,,,,,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00255000,2026-04-29,call,255.0,14.65,16.95,15.6,98.0,124,0.5996133789062501,,,,,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00257500,2026-04-29,call,257.5,13.05,13.55,12.6,32.0,194,0.51758294921875,,,,,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00260000,2026-04-29,call,260.0,10.6,11.05,10.55,218.0,701,0.57812921875,,,,,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00262500,2026-04-29,call,262.5,7.85,8.6,8.4,1598.0,133,0.49268085449218757,,,,,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00265000,2026-04-29,call,265.0,5.7,6.15,6.11,4192.0,2098,0.39649041015625003,,,,,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00267500,2026-04-29,call,267.5,3.75,3.9,3.85,8932.0,4416,0.33350275878906255,,,,,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00270000,2026-04-29,call,270.0,2.0,2.08,2.01,50062.0,8593,0.3012765185546875,,,,,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00272500,2026-04-29,call,272.5,0.85,0.9,0.89,64870.0,10025,0.28955788574218744,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00275000,2026-04-29,call,275.0,0.33,0.35,0.34,105141.0,10952,0.29834686035156244,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00277500,2026-04-29,call,277.5,0.12,0.14,0.13,36606.0,5162,0.3193427441406249,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00280000,2026-04-29,call,280.0,0.05,0.06,0.05,27557.0,23267,0.34570966796874997,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00282500,2026-04-29,call,282.5,0.02,0.03,0.03,4991.0,1407,0.3789124609375,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00285000,2026-04-29,call,285.0,0.01,0.02,0.02,5586.0,3590,0.42188078125,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00287500,2026-04-29,call,287.5,0.0,0.02,0.01,677.0,751,0.48438015625,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00290000,2026-04-29,call,290.0,0.0,0.01,0.01,1844.0,1527,0.500005,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00292500,2026-04-29,call,292.5,0.0,0.01,0.01,66.0,71,0.51562984375,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00295000,2026-04-29,call,295.0,0.0,0.01,0.01,601.0,1779,0.5625043750000001,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00297500,2026-04-29,call,297.5,0.0,0.01,0.01,1560.0,132,0.6250037500000001,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00300000,2026-04-29,call,300.0,0.0,0.01,0.01,182.0,4887,0.6718782812500002,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00305000,2026-04-29,call,305.0,0.0,0.01,0.01,4.0,87,0.7656273437500001,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00310000,2026-04-29,call,310.0,0.0,0.01,0.01,1.0,916,0.87500125,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260429C00315000,2026-04-29,call,315.0,0.0,0.01,0.03,5.0,25,0.9687503125,,,,,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
