Date,Open,High,Low,Close,Volume,HV_20,HV_252,snapshot_time,snapshot_str,ticker
2024-04-30,171.77,173.41,168.47,168.79,65934800,,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-05-01,168.05,171.15,167.58,167.77,50383100,,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-05-02,170.95,171.86,169.35,171.47,94214900,,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-05-03,184.97,185.31,181.01,181.73,163224100,,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-05-06,180.71,182.54,178.79,180.07,78569700,,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-05-07,181.8,183.23,179.68,180.75,77305800,,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-05-08,181.2,181.42,179.81,181.09,45057100,,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-05-09,180.91,182.99,180.47,182.91,48983000,,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-05-10,183.48,183.67,180.73,181.65,50759500,,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-05-13,184.02,185.66,183.2,184.85,72044800,,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-05-14,186.07,186.85,184.86,185.99,52393600,,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-05-15,186.47,189.19,185.93,188.26,70400000,,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-05-16,189.01,189.63,188.2,188.38,52845200,,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-05-17,188.06,189.35,187.73,188.41,41282900,,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-05-20,187.88,190.45,187.56,189.57,44361300,,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-05-21,189.62,191.25,189.45,190.87,42309400,,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-05-22,190.79,191.34,188.81,189.43,34648500,,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-05-23,189.51,189.53,185.2,185.45,51005900,,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-05-24,187.37,189.12,186.6,188.52,36327000,,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-05-28,190.04,191.52,187.65,188.53,52280100,,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-05-29,188.15,190.77,188.06,188.83,53068000,0.254,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-05-30,189.3,190.71,189.17,189.82,49889100,0.2503,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-05-31,189.97,191.09,188.45,190.77,75158300,0.2434,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-06-03,191.42,193.49,191.04,192.54,50080500,0.1447,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-06-04,193.15,193.82,191.55,192.86,47471400,0.1377,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-06-05,193.9,195.39,193.37,194.37,54156800,0.1386,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-06-06,194.19,194.99,192.68,192.99,41181800,0.1437,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-06-07,193.16,195.43,192.65,195.38,53103900,0.1454,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-06-10,195.39,195.79,190.68,191.64,97010200,0.1626,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-06-11,192.16,205.57,192.14,205.56,172373300,0.2864,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-06-12,205.78,218.51,205.31,211.43,198134300,0.2977,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-06-13,213.09,215.09,209.98,212.6,97862700,0.297,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-06-14,212.21,213.52,209.68,210.86,70122700,0.3007,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-06-17,211.73,217.27,211.09,215.01,93728300,0.3039,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-06-18,215.92,216.95,211.37,212.65,79943300,0.3103,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-06-20,212.29,212.6,207.25,208.07,86172500,0.3252,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-06-21,208.78,210.26,205.52,205.9,241805100,0.3268,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-06-24,206.13,211.07,205.0,206.54,80727000,0.3127,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-06-25,207.54,209.76,207.01,207.47,55549700,0.31,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-06-26,209.88,213.21,209.02,211.61,66213200,0.3139,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-06-27,213.04,214.08,210.72,212.46,49772700,0.3136,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-06-28,214.11,214.41,208.69,209.0,82542700,0.3234,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-07-01,210.46,215.84,210.29,215.09,60402900,0.3343,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-07-02,214.49,218.69,213.45,218.58,58046200,0.3361,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-07-03,218.31,219.85,217.35,219.85,37369800,0.3357,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-07-05,219.95,224.71,219.95,224.6,60412400,0.3398,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-07-08,225.35,226.1,221.54,226.07,59085900,0.3356,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-07-09,226.18,227.64,224.63,226.92,48076100,0.3355,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-07-10,227.54,231.29,227.49,231.19,62627700,0.322,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-07-11,229.61,230.61,224.04,225.82,64710600,0.2515,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-07-12,227.16,230.85,226.92,228.77,53046500,0.2381,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-07-15,234.67,235.41,231.3,232.6,62631300,0.2423,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-07-16,233.2,234.46,230.55,233.02,43234300,0.2379,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-07-17,227.69,229.68,224.9,227.12,57345900,0.2548,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-07-18,228.51,228.67,220.56,222.46,66034600,0.2639,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-07-19,223.09,225.06,221.57,222.59,49151500,0.2484,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-07-22,225.27,226.03,221.38,222.24,48201800,0.2438,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-07-23,222.65,225.2,220.97,223.28,39960300,0.2438,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-07-24,222.28,223.07,215.46,216.86,61777600,0.2705,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-07-25,217.25,219.16,212.97,215.82,51391200,0.2633,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-07-26,217.02,217.81,214.35,216.29,41601300,0.2631,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-07-29,215.29,217.62,214.09,216.57,36311800,0.2551,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-07-30,217.51,218.64,214.46,217.12,41643800,0.2345,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-07-31,219.74,222.1,218.94,220.38,50036300,0.2335,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-08-01,222.65,222.76,215.35,216.68,62501000,0.2403,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-08-02,217.47,223.87,216.04,218.17,105568600,0.2278,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-08-05,197.56,211.86,194.5,207.66,119548600,0.2818,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-08-06,203.72,208.38,199.53,205.64,69660500,0.2808,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-08-07,205.31,212.0,204.81,208.21,63516400,0.2747,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-08-08,211.47,212.56,207.23,211.67,47161100,0.2761,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-08-09,210.47,215.12,210.34,214.58,42201600,0.2767,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-08-12,214.66,218.08,214.19,216.11,38028100,0.2696,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-08-13,217.58,220.44,217.58,219.83,44155300,0.279,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-08-14,219.13,221.57,218.27,220.27,41960600,0.2661,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-08-15,223.13,223.88,221.31,223.25,46414000,0.261,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-08-16,222.46,225.35,222.19,224.57,44340200,0.2618,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-08-19,224.25,224.52,221.58,224.42,40687800,0.2617,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-08-20,224.3,225.69,223.98,225.03,30299000,0.2614,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-08-21,225.04,226.49,223.58,224.92,34765500,0.2371,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-08-22,226.3,226.85,222.44,223.06,43695300,0.2387,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-08-23,224.19,226.73,222.87,225.36,38677300,0.2406,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-08-26,225.28,225.8,222.43,225.7,30602200,0.2406,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-08-27,224.53,227.36,223.42,226.54,35934600,0.2407,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-08-28,226.43,228.36,224.21,225.01,38052200,0.2377,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-08-29,228.6,231.4,227.39,228.29,51906300,0.2323,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-08-30,228.69,228.9,226.0,227.51,52990800,0.2327,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-09-03,227.06,227.51,219.73,221.32,50190600,0.1744,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-09-04,220.21,220.33,216.06,219.41,43840200,0.1733,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-09-05,220.18,224.01,220.07,220.93,36615400,0.1705,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-09-06,222.49,223.77,218.34,219.38,48423000,0.1661,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-09-09,219.38,219.83,215.3,219.47,67180000,0.1601,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-09-10,217.49,220.03,215.32,218.67,51591000,0.1593,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-09-11,220.01,221.63,216.47,221.21,44587100,0.1529,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-09-12,221.05,222.09,218.39,221.32,37455600,0.1527,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-09-13,222.12,222.58,220.46,221.05,36766600,0.1446,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-09-16,215.13,215.8,212.52,214.91,59357400,0.1725,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-09-17,214.34,215.48,213.1,215.38,45519300,0.1731,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-09-18,216.13,221.26,216.12,219.25,59894900,0.1864,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-09-19,223.52,228.32,223.16,227.38,66781300,0.2295,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-09-20,228.47,231.57,226.13,226.71,318679900,0.2276,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-09-23,225.86,227.95,224.34,224.99,54146000,0.2266,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-09-24,227.16,227.85,224.26,225.89,43556100,0.227,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-09-25,223.46,225.81,222.56,224.89,42308700,0.2271,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-09-26,225.82,227.01,223.94,226.04,36636700,0.2265,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-09-27,226.97,228.02,225.82,226.3,34026000,0.2203,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-09-30,228.54,231.48,228.15,231.48,54541900,0.2345,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-10-01,228.02,228.15,222.28,224.73,63285000,0.2378,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-10-02,224.42,225.89,221.56,225.3,32880600,0.2352,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-10-03,223.67,225.33,221.86,224.2,34044200,0.2352,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-10-04,226.41,226.51,222.67,225.32,37245100,0.2338,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-10-07,223.03,224.22,219.89,220.24,39505400,0.2491,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-10-08,222.84,224.51,221.79,224.3,31855700,0.2566,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-10-09,223.76,228.25,223.36,228.04,33591100,0.2599,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-10-10,226.29,228.0,225.69,227.55,28183500,0.2602,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-10-11,227.8,227.91,225.86,226.07,31759200,0.2616,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-10-14,227.21,230.22,227.11,229.79,39882100,0.2425,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-10-15,232.09,235.94,230.85,232.32,64751400,0.2439,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-10-16,230.09,230.61,228.34,230.27,34082200,0.242,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-10-17,231.91,232.32,229.02,230.63,32993800,0.2061,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-10-18,234.64,234.64,232.48,233.47,46431500,0.2095,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-10-21,232.92,235.3,232.92,234.94,36254500,0.2073,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-10-22,232.36,234.68,231.08,234.32,38846600,0.2079,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-10-23,232.55,233.61,226.27,229.25,52287000,0.2235,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-10-24,228.48,229.31,226.92,229.07,31109500,0.223,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-10-25,228.24,231.7,228.07,229.9,38802300,0.2233,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-10-28,231.8,233.2,231.03,231.88,36087100,0.2102,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-10-29,231.58,232.8,230.8,232.15,35417200,0.1787,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-10-30,231.09,231.95,228.05,228.6,47070900,0.1885,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-10-31,227.84,228.33,223.9,224.44,64370100,0.1996,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-11-01,219.53,223.88,218.83,221.46,65276700,0.2042,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-11-04,219.55,221.34,218.28,220.56,44944500,0.1876,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-11-05,220.35,222.49,219.7,221.99,28111300,0.1769,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-11-06,221.16,224.59,219.75,221.27,54561100,0.1651,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-11-07,223.16,226.39,223.1,226.0,42137700,0.1836,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-11-08,225.94,227.42,225.18,225.73,38328800,0.1821,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-11-11,223.78,224.47,220.3,223.01,42005600,0.176,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-11-12,223.33,224.36,222.15,223.01,40398300,0.1699,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-11-13,222.79,225.42,221.55,223.9,48566200,0.1692,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-11-14,223.8,227.63,223.78,226.98,44923900,0.1773,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-11-15,225.17,225.69,223.05,223.78,47923700,0.1764,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-11-18,224.03,228.49,223.95,226.78,44633700,0.1825,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-11-19,225.75,228.91,225.43,227.04,36211800,0.1827,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-11-20,226.82,228.68,224.66,227.76,35169600,0.1668,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-11-21,227.64,228.91,224.48,227.28,42108300,0.1669,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-11-22,226.82,229.47,226.82,228.62,38168300,0.1678,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-11-25,230.2,231.98,228.49,231.6,90152800,0.1716,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-11-26,232.06,234.29,232.06,233.78,45986200,0.1748,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-11-27,233.2,234.41,232.54,233.65,33498400,0.1647,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-11-29,233.53,236.52,232.7,236.04,28481400,0.1505,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-12-02,235.98,239.48,235.87,238.29,48137100,0.14,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-12-03,238.51,241.44,237.6,241.33,38861000,0.1404,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-12-04,241.55,242.78,239.94,241.69,44383900,0.1406,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-12-05,242.66,243.21,240.81,241.72,40033900,0.1387,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-12-06,241.59,243.3,240.76,241.52,36870600,0.1247,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-12-09,240.52,245.9,240.44,245.41,44649200,0.1312,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-12-10,245.55,246.86,244.01,246.42,36914800,0.1163,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-12-11,246.61,249.44,244.92,245.15,45205800,0.1206,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-12-12,245.55,247.39,244.35,246.61,32777500,0.1207,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-12-13,246.47,247.94,244.9,246.78,33155300,0.1168,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-12-16,246.64,250.01,246.3,249.68,51694800,0.0972,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-12-17,248.72,252.45,248.42,252.1,51356400,0.0941,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-12-18,250.79,252.9,246.39,246.7,56774100,0.1338,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-12-19,246.16,250.63,245.75,248.43,60882300,0.1341,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-12-20,246.69,253.61,244.36,253.11,147495300,0.141,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-12-23,253.39,254.26,252.07,253.88,40858800,0.1412,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-12-24,254.1,256.81,253.9,256.8,23234700,0.1402,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-12-26,256.79,258.69,256.23,257.61,27237100,0.1394,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-12-27,256.43,257.29,251.69,254.2,42355300,0.1527,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-12-30,250.86,252.12,249.39,250.83,35557500,0.163,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2024-12-31,251.07,251.9,248.07,249.06,39480700,0.165,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-01-02,247.58,247.75,240.51,242.53,55740700,0.189,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-01-03,242.04,242.85,240.58,242.04,40244100,0.1891,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-01-06,242.98,245.99,241.88,243.67,45045600,0.1906,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-01-07,241.66,244.22,240.04,240.89,40856000,0.1952,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-01-08,240.61,242.39,238.75,241.38,37628900,0.186,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-01-10,238.71,238.86,231.73,235.56,61710900,0.2027,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-01-13,232.26,233.4,228.47,233.13,49630700,0.2045,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-01-14,233.47,234.84,231.21,232.01,39435300,0.2022,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-01-15,233.37,237.66,233.16,236.58,39832000,0.2173,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-01-16,236.06,236.72,226.79,227.02,71759100,0.2513,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-01-17,230.86,231.03,227.24,228.73,68488300,0.2497,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-01-21,222.78,223.2,218.19,221.43,98070400,0.262,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-01-22,218.6,222.9,218.6,222.61,64126500,0.261,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-01-23,223.52,225.8,221.09,222.44,60234800,0.2459,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-01-24,223.56,224.4,220.21,221.57,54697900,0.2435,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-01-27,222.8,230.89,222.76,228.61,94863400,0.2718,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
2025-01-28,229.6,238.89,229.56,236.97,75707600,0.3085,,2026-04-29 18:31:18.793436,20260429_183118,AAPL
